Titolo,Minuti,Lingue,Note,Copie,Proprietario,Giocatori,BGG_ID,Bgg_Link,Bgg_XML,BGG_Image,BGG_Thumb,SEARCH_BGG_IMAGE,SEARCH_BGG_THUMB,Barcode
Otto minuti per un impero - Leggende,8-20,,,1,,"2, 3, 4",131366,https://boardgamegeek.com/boardgame/131366/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=131366,https://cf.geekdo-images.com/HKj7MIw-zV-AmQ7PfoltRg__original/img/mHUi6z1OzjvW-Dm5BAoNcEXdwXs=/0x0/filters:format(jpeg)/pic1443212.jpg,https://cf.geekdo-images.com/HKj7MIw-zV-AmQ7PfoltRg__thumb/img/W0WHf_M-Dq-xO3yfzVA4USbjcgY=/fit-in/200x150/filters:strip_icc()/pic1443212.jpg,,,DD214
Otys,60,,,1,,"2, 3, 4",222542,https://boardgamegeek.com/boardgame/222542/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=222542,https://cf.geekdo-images.com/s6AjwCWQfx_QMwQu1GjDlA__original/img/aCGyu5_4HT9QAfYUjfKg3F0lpWI=/0x0/filters:format(jpeg)/pic3668630.jpg,https://cf.geekdo-images.com/s6AjwCWQfx_QMwQu1GjDlA__thumb/img/2dVwTBzFjnD631EpFBx7D427HVU=/fit-in/200x150/filters:strip_icc()/pic3668630.jpg,,,DD216
Overseers,30,,,1,Gaetano?,"3, 4, 5, 6",176803,https://boardgamegeek.com/boardgame/176803/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=176803,https://cf.geekdo-images.com/EhVocrnC-cNfLjONvi34Iw__original/img/ehD2i61vukx5kn3wegYJkIXlksA=/0x0/filters:format(jpeg)/pic3037469.jpg,https://cf.geekdo-images.com/EhVocrnC-cNfLjONvi34Iw__thumb/img/2YQyWhBtTdsgUWZlhtEWIoaPwaw=/fit-in/200x150/filters:strip_icc()/pic3037469.jpg,,,DD220
Paititi,45,,,1,,"2, 3, 4, 5",166661,https://boardgamegeek.com/boardgame/166661/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=166661,https://cf.geekdo-images.com/NZn-7KBWj9a4qudU-4sb_w__original/img/l6ThmGJBU8chABDpc_8m87PRmx8=/0x0/filters:format(jpeg)/pic2268646.jpg,https://cf.geekdo-images.com/NZn-7KBWj9a4qudU-4sb_w__thumb/img/0vqk_NNyXV9YUPg7F1VeigBC_50=/fit-in/200x150/filters:strip_icc()/pic2268646.jpg,,,DD380
Paladini del Regno Occidentale,90-120,,,1,,"1, 2, 3, 4",266810,https://boardgamegeek.com/boardgame/266810/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=266810,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__original/img/9ktZDu003VVVTw0RxD-ufLYV1HQ=/0x0/filters:format(png)/pic4462987.png,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__thumb/img/1gEbke_bKTA6D2jjpPm1HowGGHM=/fit-in/200x150/filters:strip_icc()/pic4462987.png,,,DD232
Palatinus,25,,,1,,"2, 3, 4, 5",19876,https://boardgamegeek.com/boardgame/19876/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=19876,https://cf.geekdo-images.com/l2kOqg7fYzzTCBIPilw5xA__original/img/nrAk6wJu0nHYvOzOaHOOxdhddyk=/0x0/filters:format(jpeg)/pic105320.jpg,https://cf.geekdo-images.com/l2kOqg7fYzzTCBIPilw5xA__thumb/img/Q7f-UQn5A4ynWHnf4OZBuptOYC4=/fit-in/200x150/filters:strip_icc()/pic105320.jpg,,,DD391
Paleo,45-60,,,1,,"2, 3, 4",38865,https://boardgamegeek.com/boardgame/38865/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=38865,https://cf.geekdo-images.com/wBWTzu8t1yXDwbE54NxCog__original/img/S3rpXPwc_04EQjVcvlwYr464Ne8=/0x0/filters:format(jpeg)/pic381660.jpg,Caricamento in corso...,,,
Paleolithic ,25-50,,,1,,"2, 3, 4",250525,https://boardgamegeek.com/boardgame/250525/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=250525,https://cf.geekdo-images.com/6VZMOkTgjzehcO0vpNNF2w__original/img/K2N7Zx8mhGOSq7dHoCvSBWsLUSA=/0x0/filters:format(jpeg)/pic4083722.jpg,https://cf.geekdo-images.com/6VZMOkTgjzehcO0vpNNF2w__thumb/img/m6T-NkLOQs9GuVHrFoFj6Ik722s=/fit-in/200x150/filters:strip_icc()/pic4083722.jpg,,,DD235
Paleolithic - Dawn of humanity (Espansione),-,,Espansione,1,,-,250526,https://boardgamegeek.com/boardgame/250526/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=250526,https://cf.geekdo-images.com/rIqu9axji2yi0j4cjYtobw__original/img/qqsAgFOglR6wy0Ra79-IWXTKNuI=/0x0/filters:format(jpeg)/pic4083747.jpg,https://cf.geekdo-images.com/rIqu9axji2yi0j4cjYtobw__thumb/img/4W1qdJwJAwcGQBV1Zvx2a80oIFE=/fit-in/200x150/filters:strip_icc()/pic4083747.jpg,,,
Paleolithic - Seafarers (Espansione),-,,Espansione,1,,-,250527,https://boardgamegeek.com/boardgame/250527/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=250527,https://cf.geekdo-images.com/xwbdh3l6ZvyT0EAuWtgkTg__original/img/_Ew7ouR_qNViILtRA-3LoyZwI3s=/0x0/filters:format(jpeg)/pic4083914.jpg,https://cf.geekdo-images.com/xwbdh3l6ZvyT0EAuWtgkTg__thumb/img/vVDDa1Ev3f3aTiHH9MOkpDsBiYM=/fit-in/200x150/filters:strip_icc()/pic4083914.jpg,,,
